cat_id,cat_name,cat_desc,last_updated_at
1,FOOD_AND_ESSENTIALS,"Food, groceries and daily essentials",2025-07-09 23:26:03
1.1,FOOD_ASSISTANCE,Meals and food distribution support,2024-07-12 01:23:39
1.2,GROCERY_DELIVERY,Grocery shopping and delivery help,2025-05-26 05:28:48
1.3,COOKING_HELP,Meal preparation and cooking assistance,2024-02-22 15:17:35
2,HEALTH_AND_WELLNESS,Physical and mental health support,2024-05-14 18:28:56
2.1,MEDICAL_TRANSPORT,Rides to medical appointments,2025-05-11 12:01:40
2.2,MEDICATION_PICKUP,Prescription pickup and delivery,2024-09-03 07:10:19
2.3,MENTAL_HEALTH,Counseling and emotional support,2025-07-18 09:35:26
2.4,ELDER_CARE,Assistance and companionship for elders,2024-04-05 16:53:58
3,EDUCATION,"Tutoring, mentoring and learning support",2024-04-26 23:07:41
3.1,TUTORING,Academic tutoring across subjects,2024-06-07 00:59:45
3.2,CAREER_MENTORING,Career guidance and mentoring,2024-10-26 01:45:17
3.3,LANGUAGE_HELP,Language learning and translation,2025-03-02 00:30:15
4,HOUSING_AND_SHELTER,"Housing, shelter and utilities support",2025-04-13 02:09:24
4.1,TEMPORARY_SHELTER,Emergency and temporary shelter,2024-07-15 04:32:47
4.2,HOME_REPAIR,Basic home repair and maintenance,2024-05-19 11:17:49
4.3,UTILITY_ASSISTANCE,Help with utility bills and setup,2025-02-28 19:59:50
5,TRANSPORTATION,Rides and mobility assistance,2025-06-03 17:52:00
5.1,RIDE_SHARE,Community rides to appointments and errands,2024-10-17 08:19:53
5.2,VEHICLE_REPAIR,Basic vehicle repair assistance,2025-08-17 06:31:55
6,EMPLOYMENT,Job search and employment support,2024-06-01 23:34:30
6.1,RESUME_HELP,Resume writing and review,2024-12-19 19:35:48
6.2,JOB_SEARCH,Job search and application help,2025-07-10 21:29:59
6.3,INTERVIEW_PREP,Interview preparation and coaching,2024-11-25 15:44:15
7,LEGAL_AND_FINANCIAL,Legal aid and financial guidance,2025-08-08 21:14:54
7.1,LEGAL_AID,Basic legal information and referrals,2025-02-24 10:20:47
7.2,FINANCIAL_LITERACY,Budgeting and financial literacy,2025-04-30 07:58:51
8,DISASTER_RELIEF,Support during and after disasters,2025-01-25 21:42:50
8.1,EVACUATION_HELP,Evacuation and relocation assistance,2024-06-05 00:02:08
8.2,SUPPLY_DISTRIBUTION,Emergency supply distribution,2025-05-30 03:21:55
9,TECHNOLOGY,Digital access and tech support,2024-04-12 23:06:33
9.1,DEVICE_SETUP,Device setup and troubleshooting,2025-04-12 09:46:09
9.2,DIGITAL_LITERACY,Basic digital literacy training,2025-02-24 05:09:04
10,COMMUNITY,General community support,2025-04-25 17:21:39
10.1,EVENT_VOLUNTEERING,Help staffing community events,2025-02-12 05:05:54
10.2,COMPANIONSHIP,Social companionship and check-ins,2024-12-03 06:54:34
